,İsim,IMDb Puanı,Yıl,Ülke,Film Süresi,Türler,Yönetmen,Senarist,Oyuncular,Ödüller,Konu
389,Beauty and the Beast - Güzel ile Hayvan,7.9,1946,Fransa,93 dakika,"Dram, Fantastik, Romantik","Jean Cocteau, René Clément","ean Cocteau, Jeanne-Marie Leprince de Beaumont","Jean Marais, Josette Day, Mila Parély",1 ödül & 3 Adaylık.,"İflasın eşiğindeki tüccar bir oğlu ve üç kızı ile bir köyde yaşamaktadır.Kızlardan kendini beğenmiş,bencil ve şirret olan Felicie ve Adelaide, üçüncü kız Belle üzerinde tahakküm kurmuş ve onu adeta bir hizmetçi gibi kullanmaktadırlar.Bir gün ormanda yolunu kaybeden tüccar karşısına çıkan garip bir şatoya girer. Kızı Belle için bir gül kopardığı esnada şatonun sahibi çıkagelir.Şatonun sahibi sihirli güçlere sahip yarı hayvan yarı insan bir yaratıktır.Tüccar'a kızlarından birisini kendisine vermediği takdirde onu öldüreceğini söyler.Kızlarından Belle babasını kurtarabilmek için kendini feda eder ve şatoya gider.. Kült Filmlerden 1080p görüntü kalitesiyle Beauty and the Beast izle yebilirsiniz."
390,Life of Pi - Pi’nin Yaşamı,7.9,2012,"Canada, Taiwan, United Kingdom, United States",127 dakika,"Dram, Fantastik, Macera",Ang Lee,"ann Martel, David Magee","Adil Hussain, Irrfan Khan, Suraj Sharma",4 Oscar Kazandı. 81 ödül & 135 adaylık. total,"Hindistan'daki hayvanat bahçelerini satıp Kanada'ya taşınmaya karar veren Santosh ve Gita Patel, oğulları ve kalan birkaç hayvanla birlikte bir yük gemisine binerler. Korkunç bir fırtına gemiyi batırdığında, Patels'in ergenlik çağındaki oğlu Pi hayatta kalan tek insandır ve onun için bir trajedi başlar. Pi yalnız değildir; korkunç bir Bengal kaplanı da cankurtaran sandalındadır. Günler haftalara, haftalar aylara dönüşürken, Pi ve kaplan hayatta kalmak istiyorsa birbirlerine güvenmeyi öğrenmelidir."
391,Arrival - Geliş,7.9,2016,"Amerika, Canada",116 dakika,"Bilim Kurgu, Dram",Denis Villeneuve,"ric Heisserer, Ted Chiang ","Amy Adams, Forest Whitaker, Jeremy Renner, Michael Stuhlbarg",1 Oscar Kazandı. Diğer 64 ödül & 262 adaylık.,"Uzaylılar Dünya'da 12 farklı yere indi. Ordu dilbilimcisi Louise Banks, Montana'daki konumlardan birinde bir ABD ordusu ekibine katılır. Görevi, uzaylıların dilini öğrenmeye çalışmak ve onlarla iletişimi sağlamaktır. İki uzaylı ile düzenli toplantılar yaparak, uzaylıların ""dili"" nin bir kaydını - bir dizi çizilmiş sembol - derlemeye başlar. Önemli soru şudur - onlar arkadaş mı yoksa düşman mı? Kült filmlerden 1080p görüntü kalitesiyle Arrival altyazılı izle yebilirsiniz."
392,The Chorus - Koro(Les Choristes) ,7.9,2004,"Almanya, Fransa, Switzerland",97 dakika,"Dram, Müzik",Christophe Barratier,"eorges Chaperot, René Wheeler, Noël-Noël","François Berléand, Gérard Jugnot, Jean-Baptiste Maunier",2 Oscar Adaylığı. 12 ödül & 24 adaylık. total,"Fond de l'Etang, Fransız kırsalında bulunan sorunlu erkekler için bir yatılı okuldur. Okul yirminci yüzyılın ortalarında bencil bir disiplinci olan müdür M. Rachin tarafından yönetilir, burada çizgiyi aşan herhangi bir çocuk için ortaya ciddi sonuçlar çıkabiliyor. Ağır bir şekilde yönetilen bir erkek yatılı okulundaki yeni öğretmen, öğrencilerin hayatlarını müzik yoluyla olumlu yönde etkilemek için çalışır. Kült Filmlerden 1080p görüntü kalitesiyle The Chorus izle yebilirsiniz."
393,L’eclisse - Batan Güneş,7.9,1962,"Fransa, Italy",126 dakika,"Dram, Romantik",Michelangelo Antonioni,"ichelangelo Antonioni, Tonino Guerra, Elio Bartolini, Ottiero Ottieri ","Alain Delon, Francisco Rabal, Lilla Brignone, Monica Vitti",1 ödül & 4 Adaylık.,"Riccardo, nişanlısı Vittoria ile yaşadığı çalkantılı ilişkisini sona erdirmenin eşiğinde... Sonu gelmeyen ve çıkmaz bir sohbetin ardından Roma'daki evinden ayrılır. Rahatsız ve anlamsız bir ilişkiden kurtulmuş olan Vittoria, kısa süre sonra genç ve bencil borsa simsarı Piero'nun cazibesine kapılır. Ancak yine bir başka talihsiz romantik ilişkiye sürüklendiğini görecektir. İki başarısız gönül ilişkinin sonunda acı ve dayanılmaz bir gerçekle yüzleşecektir: bazen insanlarla bağ kurmak imkansızdır. Kült filmlerden 720p görüntü kalitesiyle L'eclisse altyazılı izle yebilirsiniz."
394,A Quiet Place II - Sessiz Bir Yer 2,7.9,2020,United States,97 dakika,"Bilim Kurgu, Dram, Korku",John Krasinski,"ohn Krasinski, Scott Beck, Bryan Woods","Cillian Murphy, Emily Blunt, Millicent Simmonds",Bulunan ödül yok.,"Evdeki olayların ardından Abbott ailesi artık dış dünyanın dehşetiyle karşı karşıyadır. Bilinmeyene doğru maceraya atılmak zorunda kaldıklarında, kum yolunun ötesinde gizlenen tek tehdidin sesle avlanan yaratıklar olmadığını fark edecektirler. Kült filmlerden 1080p görüntü kalitesiyle A Quiet Place 2 altyazılı izle yebilirsiniz."
395,Eternity and a Day - Sonsuzluk ve Bir Gün(Mia aioniotita kai mia mera) ,7.9,1998,"Almanya, Fransa, Greece, Italy",137 dakika,Dram,Theodoros Angelopoulos,"heodoros Angelopoulos, Tonino Guerra, Petros Markaris","Bruno Ganz, Fabrizio Bentivoglio, Isabelle Renauld",9 ödül & 4 Adaylık.,"Ünlü yazar Alexander çok hasta ve yaşayacak çok az zamanı kaldı. Arabasını sürerken, Arnavutluk'tan yasadışı bir göçmen olan bir sokak çocuğunu tutuklanmaktan kurtarır. Günün ilerleyen saatlerinde tesadüfen aynı çocuğun kaçırıldığını görür ve arabasıyla onu takip eder. Kendi pişmanlıklarıyla meşgul olmasına rağmen, çocuğa yardım etmenin bir yolunu bulmak için ölümü askıya alır. Kült Filmlerden 1080p görüntü kalitesiyle Eternity and a Day izle yebilirsiniz."
396,Still Walking - Bitmeyen Yürüyüş(Aruitemo aruitemo) ,7.9,2008,Japan,115 dakika,Dram,Hirokazu Koreeda,irokazu Koreeda,"Hiroshi Abe, You, Yui Natsukawa",11 ödül & 8 Adaylık.,"Sevgili büyük oğulları Junpei'nin bir yabancının hayatını kurtarırken boğulmasından on iki yıl sonra, Kyohei ve Toshiko hayatta kalan çocuklarını eve davet ederler. Küçük oğlu Ryota, ölen kişinin kendisi olmadığı için ailesinin hâlâ kızgın olduğunu hissediyor; yeni karısı Yukari, garip bir şekilde ailenin geri kalanıyla ilk kez tanışıyor. Kült Filmlerden 1080p görüntü kalitesiyle Still Walking yebilirsiniz."
397,The Hateful Eight - Nefret Sekizlisi,7.8,2015,Amerika,168 dakika,"Dram, Gerilim, Gizem, Suç",Quentin Tarantino,uentin Tarantino,"Jennifer Jason Leigh, Kurt Russell, Samuel L. Jackson, Walton Goggins",1 Oscar Kazandı. Diğer 40 ödül & 115 adaylık.,"İç Savaş'ın bitmesinden kısa bir süre sonra bir grup yabancının, kötü hava şartlarından kaçmak için tepedeki bir konaklama yerine sığınmasını ve gizli bağlılıkların hayatta kalmalarını tehdit ettiğini anlamalarını konu ediyor. Yolcular, cellat John Ruth ve yakaladığı kaçak Daisy Domergue, Domergue'nun adalete teslim edilmesi için Ruth'un ""Cellat"" olarak bilindiği Red Rock kasabasına hızla yol alır. Yolda iki yabancıyla tanışırlar: Biri, kötü şöhretli bir ödül avcısı olan, zenci bir eski federasyon askeri Binbaşı Marquis Warren ve diğeri de kasabanın şerifi olduğunu iddia eden güneyli haydut Chris Mannix. Tipide yollarını kaybeden Ruth, Domergue, Warren ve Mannix, bir dağ geçidindeki konaklama yeri olan Minnie's Haberdashery'ye sığınır. Minnie's'e vardıklarında onları mekânın sahibi değil, dört yabancı karşılar: Minnie annesini ziyaret ederken Minnie's'e göz kulak olan Bob, Red Rock celladı Oswaldo Mobray, Kovboy Joe Gage ve Müttefik Sanford Smithers. Fırtına, dağdaki konaklama yerini etkisi altına alırken, sekiz gezginimiz, Red Rock'a hiç varamayabileceklerini öğrenir.Usta yönetmen Quentin Tarantino'nun son projesi olan 'The Hateful Eight' senaryosunun internete sızması sonrasında Tarantino tarafından iptal edimişti. Ancak daha sonra çekilmesine karar verilen filmin başrollerinde Samuel L. Jackson, Kurt Russell, Jennifer Jason Leigh, Walton Goggins, Michael Madsen, Tim Roth yer alıyor. The Hateful Eight - Nefret Sekizlisi filmini kült filmlerden 720p görüntü kalitesiyle türkçe altyazılı olarak izleyebilirsiniz."
398,Waking Life - Hayata Uyanmak,7.8,2001,Amerika,99 dakika,"Animasyon, Dram, Fantastik",Richard Linklater,ichard Linklater,"Glover Gill, Lorelei Linklater, Trevor Jack Brooks, Wiley Wiggins",5 ödül & 21 Adaylık.,"Düşler. Onlar neler? Gerçeklikten mi yoksa gerçekliğin kendisinden bir kaçış mı? Waking Life, bir adamın rüyalarını ve normal yaşam ile rüya dünyası arasındaki mutlak ilişkiyi bulmasını konu ediniyor. Bu yolda birçok insana rastlar; bazıları hayatla ilgili bir cümle sunarken, diğerleri varoluşsal soruları ve hayatın gizemlerini derinlemesine araştıran kimselerdir. Peki hayallerimizi kontrol edebilir miyiz? Bize hayat hakkında ne söylüyorlar? Kendimiz,nereden geldiğimiz ve nereye gittiğimiz hakkında? Film bizim için tüm bunlara cevap vermiyor. Bunun yerine, soruları sormamız ve cevapları kendimiz bulmamız için bize ilham veriyor. Kült filmlerden 1080p görüntü kalitesiyle Waking Life altyazılı izle yebilirsiniz."
399,The Curious Case of Benjamin Button - Benjamin Button’ın Tuhaf Hikayesi,7.8,2008,Amerika,166 dakika,"Dram, Fantastik, Romantik",David Fincher,"ric Roth, Eric Roth, Robin Swicord, F. Scott Fitzgerald ","Brad Pitt, Cate Blanchett, Faune Chambers Watkins, Julia Ormond",3 Oscar Kazandı. Diğer 80 ödül & 160 adaylık.,"Birinci Dünya Savaşı'nın sona erdiği günlerde doğan Benjamin Button'ın annesi onu doğururken öldü. Yeni doğmuş bir çocukken yaşlı ve buruşuk bir surata sahipti. Dehşete kapılmış babası Thomas Button, onu eski bir halk evinin eşiğine bıraktı. Yıllar geçtikçe Benjamin ""yaşlandıkça"" gençleşmeye başladığını farkeder. Bir gün güzel bir genç kız olan Daisy ile tanışır. İlişkinin her zaman garip görüneceğini bildiği halde ona aşık olur. Engelleyemediği gerçek bu aşkın önüne geçecek mi? Yoksa onu özgür mü kılacak? Kült filmlerden 1080p görüntü kalitesiyle The Curious Case of Benjamin Button altyazılı izle yebilirsiniz."
400,İstanbul Hatırası: Köprüyü Geçmek(Crossing the Bridge: The Sound of Istanbul) ,7.8,2005,"Almanya, Türkiye",90 dakika,"Belgesel, Müzik, Tarih, Yerli",Fatih Akin,atih Akin,"Ahmed Ulug, Alexander Hacke, Cem Yegul",1 ödül & 2 Adaylık.,"Ödüllü yönetmen Fatih Akın, bizi Avrupa ile Asya'yı birbirine bağlayan, doğu ve batı kavramlarına meydan okuyan İstanbul'da bir yolculuğa çıkarıyor. Geleneksel Türk müziğinin yanı sıra rock ve hip-hop'u da içeren canlı müzik sahnelerine göz atıyor. Kült Filmlerden 1080p görüntü kalitesiyle Crossing the Bridge: The Sound of Istanbul izle yebilirsiniz."
401,The Best Offer - La Migliore Offerta,7.8,2013,Italy,131 dakika,"Dram, Gizem, Suç",Giuseppe Tornatore,iuseppe Tornatore,"Geoffrey Rush, Jim Sturgess, Sylvia Hoeks",25 ödül & 26 Adaylık.,"Film, Avrupa'da, üst düzey sanat müzayedeleri ve antikalar dünyasında geçen bir aşk ve aldatma hikayesini ele alıyor. Hikaye, önde gelen bir müzayede evinin genel müdürü, yaşlanan, zengin ve saygın, ancak biraz soğuk ve eksantrik olan Virgil Oldman'ın etrafında dönüyor. Oldman, gizemli genç bir varis olan Claire Ibbetson tarafından, ebeveynlerinden miras kalan geniş sanat ve antika koleksiyonunu açık artırmaya çıkarmak için işe alınır. Claire, şiddetli agorafobi yaşıyor ve odasından asla çıkmıyor. OKB'den muzdarip olmasına rağmen Oldman'a güvenmeye karar verdi.. Çok geçmeden, onun münzeviliğini anlayabilen, ömür boyu bir bekar olan Oldman'ın, kendine aşık olduğunu anlar. Kült Filmlerden 1080p görüntü kalitesiyle The Best Offer izle yebilirsiniz."
402,Brother - Brat(Kardeş) ,7.8,1997,Russia,99 dakika,"Aksiyon, Dram, Suç",Aleksey Balabanov,leksey Balabanov,"Sergey Bodrov, Svetlana Pismichenko, Viktor Sukhorukov",8 ödül & 5 Adaylık.,"Ordudan yeni terhis olan Danila, bir gangster ve bir katil olan ağabeyi, yakında suç dünyasında yer alacağı ve birini öldürmesini istediği St. Petersburg'da yeni bir hayata başlamak için gider. Orada yeni hayatı başlar. Bir kız da dahil olmak üzere yeni insanlarla tanışır ve ""Nautilus Pompillius"" rock grubunun büyük bir hayranı olur, ancak şimdi bir katildir ve öldürmenin onun için yaşamaktan daha kolay olduğunu fark etmesi, yanlış yolda olduğunu anlamasını sağlar."
403,The Servant - Genç Hizmetçiler,7.8,1963,United Kingdom,116 dakika,Dram,Joseph Losey,"arold Pinter, Robin Maugham","Dirk Bogarde, Sarah Miles, Wendy Craig",3 BAFTA 8 wins & 10 nominations total.Won 3 BAFTA 8 ödül & 10 Adaylık. total,"Bu film, zarif bir Oxbridge bekarı ile kibirli uşağı arasındaki tablonun dramatik bir şekilde değişmesiyle İngiliz sınıf ilişkilerine keskin bir bakış atıyor. Hizmetçi yavaş yavaş ""efendisi"" üzerindeki genişleyen güçlerini fark eder ve kullanır, çünkü bekar sürekli olarak otoritesini kaybeder ve kendi ""çalışanına"" köle olur. Kült Filmlerden 1080p görüntü kalitesiyle The Servant izle yebilirsiniz."
404,Days of Heaven - O Güzel Günler,7.8,1978,Amerika,94 dakika,"Dram, Romantik",Terrence Malick,errence Malick,"Brooke Adams, Linda Manz, Richard Gere, Sam Shepard",1 Oscar Kazandı. Diğer 12 ödül & 12 adaylık.,"Bill ve Abby, dış dünyaya kardeşlermiş izlenimi veren genç bir çifttir. Şehrin yoksulluğundan ve ağır işçiliğinden kaçıp güneye gitmeye karar verirler. Çift Teksaslı bir adamın çiftliğinde iş bulur. Hasat bittiğinde genç, zengin ve yakışıklı çiftçi adam Abby'ye aşık olduğu için onları evinde kalmaya davet eder. Bill ve Abby, çiftçinin ciddi şekilde hasta olduğunu ve yaşamak için yalnızca bir yılı kaldığını öğrendiklerinde, Abby'nin durumdan bir miktar fayda sağlamak için evlilik teklifini kabul etmesine karar verirler. Beklenen ölüm gelmediğinde, kıskançlık ve sabırsızlık yavaş yavaş ortaya çıkacaktır. Kült filmlerden 1080p görüntü kalitesiyle Days of Heaven altyazılı izle yebilirsiniz."
405,The Fighter - Dövüşçü,7.8,2010,Amerika,116 dakika,"Biyografi, Dram, Spor",David O. Russell,"cott Silver, Paul Tamasy, Eric Johnson, Paul Tamasy, Eric Johnson, Keith Dorrington ","Amy Adams, Christian Bale, Mark Wahlberg, Melissa Leo",2 Oscar Kazandı. Diğer 71 ödül & 124 adaylık.,"Filmin konusu bir boksörün karşısına çıkan bütün engellere rağmen umudunu ve azminden hiçbir şey kaybetmeden hayata sıfırdan başlangıç yapmasını konu alır. Yaşanılan her türlü olumsuz durum karşısında kaybetmediği inancı onu zirve noktasına kadar ulaştırır. Aynı zamanda da Amerikan aile yapısı ve genç kesimin içinde yer aldığı sosyal çöküşler de film içerisinde belirgin bir biçimde ele alınmıştır.
Yapım yılı 2010 olan ABD filmi olan Dövüşçü, Christian Bale, Mark Wahlberg ve Amy Adamsbaşrol oyunculardır. 2011 yılında akademik ödüllere layık görülen film oyuncuları arasında Christian Bale filmde oynadığı rol ile En İyi Yardımcı Erkek Oyuncu dalında, MelissaLeo ise En İyi Yardımcı Kadın Oyuncu dalında Akademi Ödülü almaya hak kazanmıştır. Kült filmlerden 1080p görüntü kalitesiyle The Fighter altyazılı izle yebilirsiniz."
406,Itirazim Var(Let's Sin) ,7.8,2014,Türkiye,110 dakika,"Aksiyon, Dram, Suç, Yerli",Onur Ünlü,nur Ünlü,"Ahmet Çevik, Serhan Ergören, Serkan Keskin",7 ödül & 8 Adaylık.,"Bir zamanlar antropolojiyle ilgilenmiş eski bir boksör, şimdilerdeyse bir camide görev yapan sıradışı bir imamdır. Bir gün camide namaz kıldırdığı sırada caminin içi silah sesleriyle yankılanır. İçeride bulunan kişilerden biri yere yığılır ve hayatını kaybeder. Olay yerine gelen polis ilk delilleri toplar ve araştırma süreci başlar. Selman Bulut bu olay sonrasında harekete geçer ve şüphelendiği kimi kişi ve durumların üzerinden davayı çözmeye karar verir. Her ipucu işleri beklemediği bir noktaya götürür ve olaylar gittikçe daha gizemli bir hal almaya başlar. Kült Filmlerden 1080p görüntü kalitesiyle Itirazim Var izle yebilirsiniz."
407,Little Miss Sunshine - Küçük Gün Işığım,7.8,2006,Amerika,101 dakika,"Dram, Komedi","Jonathan Dayton, Valerie Faris",ichael Arndt,"Abigail Breslin, Alan Arkin, Greg Kinnear, Paul Dano",2 Oscar Kazandı. Diğer 70 ödül & 112 adaylık.,"Olive, hayali Küçük Gün Işığı güzellik yarışmasını kazanmak olan küçük bir kızdır. Ailesi onun hayalinin gerçekleşmesini istiyor ancak kendi tuhaflıkları, nevrozları ve sorunları ile o kadar yük altındalar ki, başlarına bir felaket gelmeden bir günü zar zor atlatabiliyorlar. Olive'in babası Richard, başarısız bir motivasyon konuşmacısı ve annesiyle neredeyse hiç konuşmamaktadır. Nietzsche'nin fanatik bir takipçisi olan abisi Dwayne, varlığını kendisine eziyet eden bir sessizlik yemini etmiştir. Ve Olive'in büyükbabası, uyuşturucu alışkanlığı olan biri ancak yarışma için Olive'e koçluk yapıyor. Kült filmlerden 1080p görüntü kalitesiyle Little Miss Sunshine altyazılı izle yebilirsiniz."
408,Gönül Yarası(Yürek Yarası) ,7.8,2005,Türkiye,142 dakika,"Dram, Yerli",Yavuz Turgul,avuz Turgul,"Meltem Cumbul, Sener Sen, Timuçin Esen",10 ödül & 9 Adaylık.,"İdealist Nazım, Türkiye'nin doğusundaki ücra bir köyde öğretmenlik yaparak 15 yıllık bir aradan sonra İstanbul'daki ailesinin yanına döner. Taksi şoförü olurken, kalitesiz bir kulüpte çalışan bekar bir anneyle tanışır ve içinde bulunduğu kötü duruma bulaşırken ona aşık olmaya başlar. Kült Filmlerden 1080p görüntü kalitesiyle Gönül Yarası izle yebilirsiniz."
409,Dreams - Düşler(Yume) ,7.8,1990,"Amerika, Japan",119 dakika,"Dram, Fantastik","Akira Kurosawa, Ishirô Honda",kira Kurosawa,"Akira Terao, Mieko Harada, Mitsuko Baishô, Toshie Negishi",1 Golden Globe Adaylığı. Diğer 3 ödül & 11 adaylık.,"Dreams sekiz ayrı kısa filmden oluşuyor. Filmde karakterler ve tematik malzeme açısından örtüşmelerle birlikte esas olarak insanın çevresiyle olan ilişkisi ele alınmıştır. 
'Yağmurlu Güneş': Genç bir çocuğa, her iki hava koşulunun da meydana geldiği gün dışarı çıkmaması söylenir, çünkü o zaman tilkiler düğün alaylarını düzenler, bu da bu olaya tanık olanlar için ölümcül sonuçlar doğurabilir. 'Şeftali Bahçesi': Aynı genç çocuk, kalpsiz insanlar tarafından kesilen şeftali ağaçlarının ruhlarıyla karşılaşır. 'The Blizzard': Bir dağcı ekibi, manevi müdahaleyle kar fırtınasından kurtarılır. 'Tünel': Bir adam, ölümlerinden sorumlu olduğu bir ordu müfrezesinin hayaletleriyle karşılaşır. 'Kargalar': Bir sanat öğrencisi 'Vincent Van Gogh' ile karşılaşıyor ve resim dünyasına girer. 'Kırmızı Fuji Dağı': nükleer santral Japonya'nın geleceğini tehdit altında tutuyor. 'Ağlayan Şeytan': insan mutasyonlarının yaşadığı nükleer sonrası bir dünyanın portresi. 'Su Değirmenleri Köyü': Nüfusu tamamen doğayla iç içe olan bir köyün güneşli bir portresi."
